month_id,subscriber_uid,city,fsa,services_subscribed_name,internet_service_level,internet_rgu,account_mrr,internet_mrr
1705,6042033,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,79.9,36.8
1705,1514931,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,164,35.05
1705,1520312,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,220.9,79.9
1705,1516231,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 60,1,250,95
1705,9336788,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,144.9,79.9
1705,10049916,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,127.99,40
1705,1520524,FORT MCMURRAY,T9H,Video - Internet - Phone,Broadband 50(GGF),1,217,65
1705,10097021,FORT MCMURRAY,T9H,Internet,Internet 150,1,49.9,49.9
1705,1548802,FORT MCMURRAY,T9H,Video - Internet - Phone,High Speed 20(GF),1,217,72
1705,1570046,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,116,60
1705,1517703,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,161.99,35.05
1705,5314276,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,9776384,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,208.9,79.9
1705,1527525,FORT MCMURRAY,T9K,Internet,Internet 150,1,69.9,69.9
1705,1521776,FORT MCMURRAY,T9K,Internet,High-Speed(GF),1,73,73
1705,8904883,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,164.9,79.9
1705,9642879,FORT MCMURRAY,T9K,Internet,Internet 15,1,66,66
1705,4618203,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,8699963,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1514727,FORT MCMURRAY,T9K,Internet,Internet 150,1,79.9,79.9
1705,1517794,FORT MCMURRAY,T9H,Video - Internet,Extreme(GF),1,211,70
1705,1514098,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,159,62
1705,9098487,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,140,66
1705,8669579,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 15,1,157,66
1705,1564643,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1564891,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,5613979,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,158,73
1705,5764650,FORT MCMURRAY,T9K,Internet - Phone,Internet 30,1,126,75
1705,9991416,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,84.9,46.8
1705,1564922,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,1529147,FORT MCMURRAY,T9K,Video - Internet,Internet 60,1,115.99,45
1705,1541357,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1526997,FORT MCMURRAY,T9K,Internet,High-Speed(GF),1,64,64
1705,5764263,FORT MCMURRAY,T9H,Video - Internet,Internet 5,1,84,55
1705,5614376,FORT MCMURRAY,T9H,Internet,High Speed 20(GF),1,0,0
1705,1532676,FORT MCMURRAY,T9K,Internet,Internet 150,1,79.9,79.9
1705,1574642,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,154.9,79.9
1705,1537775,FORT MCMURRAY,T9K,Video - Internet - Phone,Broadband 50(GGF),1,197,93
1705,10166760,FORT MCMURRAY,T9K,Internet,Internet 150,1,49.9,49.9
1705,10192606,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,97,50
1705,1570336,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,145.9,69.9
1705,5313721,FORT MCMURRAY,T9K,Video - Internet,Internet 60,1,178.95,95
1705,1572625,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,104.9,79.9
1705,1572561,FORT MCMURRAY,T9H,Video - Internet - Phone,Extreme(GF),1,257.95,70
1705,1524566,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,188.9,79.9
1705,1533528,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,140.9,79.9
1705,5567991,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,183.9,79.9
1705,8686900,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,192,73
1705,1519072,FORT MCMURRAY,T9K,Video - Internet - Phone,High Speed 20(GF),1,207.95,67
1705,1541792,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,125.9,79.9
1705,9828330,FORT MCMURRAY,T9H,Internet,Internet 150,1,79.9,79.9
1705,1516168,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,185,100
1705,8847391,FORT MCMURRAY,T9K,Internet,High-Speed(GF),1,0,0
1705,1532479,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 5,1,178,55
1705,1542066,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,177.85,75
1705,1548544,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,146,73
1705,5921192,FORT MCMURRAY,T9H,Internet,Internet 150,1,79.9,79.9
1705,6127080,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,132,66
1705,10038664,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,100.9,47.5
1705,4967139,FORT MCMURRAY,T9K,Internet - Phone,Internet 15,1,0,0
1705,5264940,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,9751721,FORT MCMURRAY,T9K,Internet,Internet 150,1,49.9,49.9
1705,10361531,FORT MCMURRAY,T9K,Internet,Internet 150,1,49.9,49.9
1705,9820835,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,84.9,46.8
1705,1553857,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 60,1,294,95
1705,6001282,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,118,63
1705,8906792,FORT MCMURRAY,T9H,Internet,Internet 150,1,69.9,69.9
1705,10174891,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,129.9,46.2
1705,4966900,FORT MCMURRAY,T9H,Video - Internet,High Speed 10(GF),1,140.05,65
1705,10185751,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,156.9,46.2
1705,9525276,FORT MCMURRAY,T9K,Internet,Internet 150,1,79.9,79.9
1705,1520611,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,154,66
1705,5314249,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,129.9,79.9
1705,10035837,FORT MCMURRAY,T9H,Internet,Internet 15,1,0,0
1705,4618715,FORT MCMURRAY,T9K,Video - Internet,Internet 60,1,144,95
1705,8693119,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,184,66
1705,1564975,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,172.9,79.9
1705,6001772,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,124,65
1705,9514223,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,111.99,66
1705,1542955,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,184.9,79.9
1705,1564864,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,10107694,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,86.89,47.5
1705,10184133,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,105.9,46.8
1705,9363021,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,146.9,49.9
1705,10033438,FORT MCMURRAY,T9H,Internet,Internet 15,1,0,0
1705,9891474,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,94.9,47.5
1705,1541482,FORT MCMURRAY,T9H,Video - Internet,Internet 60,1,233,95
1705,10241436,FORT MCMURRAY,T9K,Internet,Internet 30,1,45,45
1705,1549375,FORT MCMURRAY,T9H,Internet,Internet 5,1,55,55
1705,10172498,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,79.9,46.8
1705,10166764,FORT MCMURRAY,T9H,Internet,Internet 150,1,60,60
1705,1513717,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,188.9,79.9
1705,9836808,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,90.89,47.5
1705,1521795,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 60,1,242,90
1705,1524259,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,266.89,79.9
